VANSCOY UPPER AIR,4058420
WINTERLAND BRANCH HILL,8404242
HART ISLAND (AUT),8202318
KINGS LANDING,8102314
ROYAL ROAD WEST,8104482
ELBOW 2 NE,4022363
ARRAN,4080260
STORNOWAY,4017797
ST AMBROISE,7066820
EMO 2,6022301
VIDORA,4038490
KENORA RCS,6034073
OSBORNE HEAD DND,8204190
ILES DE LA MADELEINE A,705C2G9
BAS CARAQUET,8100468
LUNENBURG,8203210
WEST BRANCH,8206232
WOODSTOCK,8105600
SAINT JOHN DOMINION PARK,8104921
GREEN RIDGE,5021205
SINTALUTA,4017515
WOLSELEY,4019022
MCNABS ISLAND (AUT),8203478
SHOAL LAKE,5012677
RICHER,5022420
BROADVIEW,4010878
VANSCOY COMINCO,4058425
INSTOW,4023520
RANKIN INLET A,2303401
PARKBEG,4015867
RADVILLE,4016400
BERENS RIVER CS,5030203
YORKTON,4019073
MEADOW LAKE 2,4065060
VERMILION BAY TCPL 52,6039136
MILE 97,4075180
ATIKOKAN CLI,6020381
ALSASK HARDENE,4020130
BUFFALO NARROWS,4060981
WISHART,4019007
SANDY LAKE A,6017401
WEYBURN,401HP5R
BIG TROUT LAKE READAC,6010739
SHAUNAVON 3,4027486
MORRIS 2,5021965
CANNINGTON MANOR,4011090
IGNACE TCPL 58,6033697
KENORA,6034070
BUFFALO NARROWS A,4060982
COLLINS BAY SK,4061620
BUFFALO POUND LAKE,4010984
RESOLUTE CS,2403505
RIDING MOUNTAIN PARK,5042425
NARCISSE,5031991
NORTH BATTLEFORD RCS,4045607
PRINCE,4046200
LIDGETT,4034380
MACKLIN,4044800
ZELMA,4059220
YARBO,4019039
CLUFF LAKE,4061590
VITA,5023001
STRASBOURG,4017800
GYPSUMVILLE 2,5041230
CODETTE ELKHORN,4071612
RAINY RIVER-COOPER,602FQ5L
LYNN LAKE,5061648
OUNGRE,4015716
ATTAWAPISKAT,6010387
BAKER LAKE CLIMATE,2300501
KUROKI,4014115
ST EUSTACHE,5022554
GREAT FALLS CLIMATE,5031201
LIPTON 2,4014481
SALTCOATS,4017095
ARVIAT CLIMATE,2301153
WINNIPEG E KILDONAN,5023210
HUNTERS POINT MARINE,5051311
BISSETT,5030282
WHITESAND DAM,4068840
DELISLE,4052175
MACGREGOR SOUTH,5041680
MOOSE MOUNTAIN RESERVOIR,4015344
CHESTERFIELD INLET,2300705
BIRNIE,5040230
FAIRFORD,5040910
LINTLAW,4084440
DUNCAN EAST,1012566
BOWEN ISLAND BOWEN BAY,104090R
COOMBS,1021850
MORICETOWN,1075202
FISH LAKE ROAD,2100535
PEMBERTON MEADOWS,1086090
BRENTWOOD BAY 2,1010960
KNOUFF LAKE 2,1164381
COWICHAN,1012008
ZEBALLOS IRON MINES,1039040
COMOX A,1021830
AGASSIZ CDA,1100120
PUNTZI MOUNTAIN,1086556
SALVUS CAMP,1067005
LITTLE QUALICUM HATCHERY,1024638
CLEARWATER AXEL CRK,1161F55
WADHAMS CDF,106Q669
KAMLOOPS RAYLEIGH,116L87J
SPENCES BRIDGE NICOLA,1167637
KUPER ISLAND,1014430
HALFMOON BAY,1043320
VICTORIA WEST,101H6FF
DELTA OLIVER SLOUGH,1102419
NEW WESTMINSTER BC PEN,1105553
HUNTINGDON METER STATION,1103635
SATURNA ISLAND CS,1017101
VICTORIA PRINCESS AVE,101Q655
ENDERBY ASHTON CREEK,1162682
VANCOUVER SOUTHLANDS,1108473
BOAT BLUFF,1060901
CAPE ST JAMES,1051351
ARGENTA,1140448
PARKSVILLE SOUTH,1025977
VANCOUVER CITY HALL,1108430
OGILVIE RIVER,2100794
MIDWAY PROJECT,1195127
LILLOOET SETON BCHPA,1114627
FORT ST JOHN- HWOS CLIMATE,1183007
CORDOVA BAY SOUTH,1011922
WANNOCK RIVER,1068677
SALMON ARM A,1166R45
PORT EDWARD,1066K57
DELTA LADNER EAST,1102416
SEYMOUR CREEK,1107195
HUNTINGDON VYE ROAD,1103636
LITTLE QUALICUM R ESTY,1024639
MONTE LAKE PAXTON VALLEY,116NJ97
MILE 318 ALASKA HWY,11951K9
METCHOSIN HAPPY VALLEY,1015107
RICHLAND,1166760
WILMER,1148957
VANCOUVER JERICHO BEACH,110H447
CASTLEGAR BCHPA DAM,1141457
GATES STATION,1113072
N VAN SEYMOUR HATCHERY,110N666
CAMPBELL R LAKEVIEW FC,1021264
SMITHERS,1077499
KELOWNA N GLENMORE,112C991
SECHELT AUT,1047172
ELK LAKE 2,1012656
CAPE MUDGE,1021330
BEAVERDELL,1130770
EAST SOOKE ANDERSON COVE,1012628
BRONSON CREEK,1201086
YARROW,1109004
ADRA,1120090
STILLWATER POWER HOUSE,1047770
GENELLE,1143085
HAINES APPS #4,2100627
VANCOUVER KITSILANO BEACH,110HM5C
DEER PARK,1142400
W VANCOUVER DUNDARAVE,1108829
EAGLE BAY,1162580
CRESCENT VALLEY,1142130
FULTON LAKE,1073040
MOHA,1115196
ELK LAKE,1012655
COLUMBIA GARDENS,1141800
QUESNEL BAR HL RANCH,1086633
KERSLEY 2,1094127
PRINCETON 8NE,1126514
VANCOUVER RUPERT ST,1108471
NORTH PENDER ISLAND,1015638
SOOKE OTTER POINT,1017570
WHITEHORSE,2101290
TOFINO VILLAGE,1038207
FINLAY FORKS 2,118BHQ1
BOB QUINN LAKE 2,120090J
HOLLYBURN,1043504
TATLAYOKO LAKE,1088010
LONE BUTTE 2,1164G1E
WHALLEY BOLIVAR CRESCENT,1108886
LOWRY LAKE,1034725
BONANZA CREEK,2100164
CHILLIWACK,1101530
OKANAGAN FALLS 2S,1125G0A
SMITHERS 4E,1077508
HOPE A,1113540
VERNON,1128550
CRISS CREEK,1162177
IOCO REFINERY,1103660
HEFFLEY CREEK,1163400
SINCLAIR MILLS,1097370
CATFISH CREEK,109AMEP
PRINCE RUPERT SHAWATLANS,1066493
OLIVER ROCKCLIFF,112N765
HENDERSON LAKE,1033455
TOM CREEK TOWER,2101125
BECHER BAY,1010780
HERBERT ISLAND (AUT),1063461
RICHMOND NATURE PARK,1106PF7
MILE 295 ALASKA HWY,119512R
DOG CREEK,1092489
OCHILTREE MIOCENE,1095676
KELOWNA AWOS,1123965
VERNON AUTO,1128582
DUNSTER,1092578
PORT MOODY GLENAYRE,1106CL2
VALEMOUNT SOUTH,117HCL9
CHARLIE LAKE,11814FR
DUNSTER 2,1092579
PEMBERTON MEADOWS 4NW,1086093
NEW IMPERIAL,2100765
KAMLOOPS CHERRY CREEK 2,1163815
VANCOUVER EXHIB PARK,1108440
DELTA BURNS BOG,1102415
TOAD RIVER,1198194
NITINAT LAKE (AUT),103EFJ0
BANKIER CHAIN LAKE,1120633
CASINO MTN,2100315
HOWE SOUND STRACHAN CRK,110361F
DAWSON TOWER,2100405
KITIMAT,1064288
CLINTON CREEK,2100366
OTTER FALLS NCPC,2100840
ANYOX,1060446
MURDER CREEK 2,1075252
LILLOOET,1114620
SHAWNIGAN LAKE NORTH,1017233
TAHTSA LAKE WEST,1087950
STEVESTON,1107710
HOPE AIRPORT,1113543
KITIMAT 3,1064322
BOUNDARY,2100165
TSUNIAH LAKE LODGE,1088293
BRIDESVILLE,1130975
HOUR LAKE,2100FCG
VANCOUVER KERRISDALE,1108448
MAPLE RIDGE FERGUSON AVENUE,1104910
CUMBERLAND,6101935
DEASE LAKE A,1192341
150 MILE HOUSE,1095820
BURNABY LAKE,1101153
MALAHAT,1014820
KELOWNA CDA,1123980
CYPRESS BOWL 1425,1102252
SOUTHBANK,1087600
HANEY UBC RF SPUR 17,1103334
ENDERBY VALECAIRN FARM,1162683
HORSEFLY LAKE GRUHS LAKE,1093600
NITINAT LAKE,1035610
100 MILE HOUSE,1165791
MONTE CREEK,116NJ9F
HARTLEY BAY,1063339
LONE BUTTE,1164715
BELLA COOLA,1060840
FT NELSON CHURCHILL MINE,1192943
OLIVER 3,1125779
PORT ALBERNI (AUT),1036B06
VERNON BX,1128554
VICTORIA AMROTH PLACE,1018590
KIMBERLEY MEADOWBROOK,115D202
WINFIELD,3017595
ORLEANS VEH PRVG GND,6105832
ROSEDALE,1106865
SEPT-ILES A,7047910
LUSKVILLE,7034365
PETERBOROUGH TRENT U,6166456
SPRINGFORD,6137979
LINTON,7014325
SMITHFIELD CDA,6157831
ROBERVAL A,7066686
KESWICK,6114089
FORMOSA,6122456
STONEY CREEK,1177773
SUDBURY MOE,6068155
UXBRIDGE,6159A26
OLIPHANT,6125GP0
BARRIE LANDFILL,6110556
ST RENE DE MATANE,7057692
MORPETH,6135125
LAC ALBANEL,709CENL
FRAMPTON,7022553
POULARIES,7096215
BIG CHUTE,6110731
HEATH POINT,7053038
LAC CHICOBI,709CE9F
PETIT SAGUENAY,7046010
AGUASABON,6040081
KING CITY,6154130
LORETTEVILLE,7014329
TORONTO DEER PARK,6158417
BECANCOUR,7020570
VILLEROY (STE-FRANCOISE),7018766
BURCHELL LAKE,6041036
SHEENBORO,7038080
NADLUARDJUK LAKE,2402718
OSHAWA FIRE HALL #3,6155877
BARRIE-ORO,6117700
ST GABRIEL,7057269
UPSALA TCPL 62,6049098
PORCUPINE ONT HYDRO,6076572
MANIC 2 LB1,7044453
ST THOMAS,6137361
TROIS RIVIERES A,7018561
SUGLUK,711Q2H7
ATHENS,6100375
SOUTH DURHAM,7028210
LE GITE,7054278
VERCHERES,7028700
MONTREAL ICE CONTROL,7025245
CAMP M-107,704J01E
VANKOUGHNET,61191LK
STE GENEVIEVE,5032560
APPS MILL,6140286
QCMR MILE 106,7046297
UNIONVILLE,6159058
MEGANTIC A,7024800
CAMBRIDGE GALT MOE,6141095
SNELGROVE,6157859
POINTE AU PERE,7056067
ABITIBI CAMP 230,6040020
HAROLD WILDWOOD,6153357
CARLETON PLACE,6101250
KILMAHUMAIG,8300441
SUGAR CAMP BROOK,8205623
SHELBURNE SANDY POINT,8205130
HALIFAX,8202200
SUMMIT DEPOT,8105100
LITTLE RIVER MINE,8102350
WRECK COVE BROOK,8206450
ST CATHARINES A,6137287
ANTICOSTI HEATH POINT,7050198
STAYNER MARTYN,6117R99
MIDHURST,6115099
BLANC SABLON,7040811
ST CATHARINES CDA,6137301
ERIEAU,6132334
BURLINGTON SKYWAY,6151063
CHELSEA,7031360
BARRIERE MITIS,7050MGC
COLBORNE,6151745
PASSE DANGEREUSE DAM,7065840
BARRY'S BAY,6100558
SPARTA,6137968
MADOC,6154779
IGLOOLIK A,2402543
CLYDE A,2400800
EAGLE RIVER,2100470
EASTMAIN,7092305
TURTLE CREEK,8105518
PLEASANT MOUNTAIN,8104010
SUMMERSIDE A,8300700
DAWSON SETTLEMENT,8101178
FREDERICTON INTL A,8101505
NEW GLASGOW TRENTON,8203905
LOWER L'ARDOISE,8203164
LISCOMB GAME SANCTUARY,8202975
LAC BROWN,7013570
TORONTO BLACK CREEK,6158398
FERME NEUVE,7032370
FIRE LAKE,7042371
CHARLEVOIX (MRC),7041312
MITCHELL,6145239
TROIS RIVIERES A-2,7018560
FOYMOUNT,6102531
STELLA-AMHERST,6158012
LAC ATTILA,709CNN6
CHAPLEAU A,6061365
MACDONALD COLLEGE,7024400
KILLALA LAKE,6044115
BRANTFORD MORELL,6140951
VINELAND STATION RCS,6139148
NOEL SHORE EXP ST,8204125
GAGETOWN A,8101792
MILLTOWN,8102975
SABLE ISLAND A,8204703
ABERCROMBIE POINT,8200015
PORT MORIEN,8204512
TROUT LAKE,1148262
VANKLEEK HILL,6109132
WYOMING,6129670
ACTON MONITOR STN,6140041
LINGWICK,7024320
TOR OLD BURNHAMTHORPE,6158763
PRESTON WPCP,6146714
GRAND VALLEY,6142990
BELLEVILLE OWRC,6150700
CHUTE DES PASSES,7061540
COATICOOK,7021840
BRAMPTON MOE,6150916
TORONTO BRIDLEWOOD,6158408
SALT SPRINGS EXP ST,8205050
LIVERPOOL BIG FALLS,8203100
CARIBOU POINT (AUT),8200774
TYNE VALLEY,8300845
SABLE ISLAND,8204708
LA MACAZA,7033939
HALL BEACH A,2402350
TORONTO NEWTON,6158752
SAULT STE MARIE A,6057591
JERMYN,6163872
WESTOVER,615R457
LAKE MEGANTIC,7023800
CATHCART,6141268
EATON RIVER NORTH,702K30E
DIGBY CKDY,8201602
BACCARO POINT,8200254
FORT ROSS,2402051
FREDERICTON UNB,8101700
LAKE MAJOR,8202896
KENTVILLE CDA CS,8202810
BELLEDUNE,8100514
ALLISTON,6110216
VICTORIA,8404100
LOWER HOLMESVILLE,8102522
PENNFIELD,8103845
NEPISIGUIT FALLS,8103500
THOROLD,6138259
ARNPRIOR,6100340
PORT CREDIT,6156609
VAL-D'OR A,7098600
OIL SPRINGS,6125770
NAKINA A,6045550
RAVENSCLIFFE,6116901
LISTOWEL ONT HYDRO,6144444
RICHMOND,6107010
STRATHCONA SOUND,2403820
ST LEONARD CS,810I001
LONG CREEK SNOW,8300499
PIRATE HARBOUR,8204425
PLASTER ROCK,8104000
HARCOURT,8102150
FOURCHU HEAD (AUT),820J8C7
WELSFORD,8105560
ARTHURETTE BIRCH RIDGE,8100350
VICARY CREEK,305FQKP
N VANCOUVER W KEITH RD,110B001
CENTRALIA A,6121275
VALLEYFIELD,7028680
WINDSOR A,6139527
MASSEY,6065005
GARDEN HILL,6152663
KING CITY 2,6154131
BRAY ISLAND,2400560
PICKERING FIRE HALL #5,6156518
OXALINE LAKE,6046164
LUCERNE,7034350
BAIE-COMEAU,704S001
ST THOMAS DE CAXTON,7017757
IDA,6153678
TOULNUSTOUC,704HE0G
TORONTO SCARBOROUGH,6158776
RIDEAU CANAL KILMARNOCK,6107059
TORONTO LLOYDMINSTER,6158734
VILLE MARIE,7088760
CHATHAM,6131387
LONG POINT (AUT),6134F10
INUKJUAK A,7103283
TORONTO HEADLAND (AUT),6158578
OTONABEE,6165880
MONT STE-ANNE,7045326
DURHAM SUD,70222DR
ILE AUX PERROQUETS,7043B79
ROMIEU SUD,7056695
LAMBTON,7024000
ACTON VALE,7020055
DEWAR LAKES,2401030
MONT LOGAN,7055180
PARIS,6146240
WINONA,6139556
GODERICH MUNICIPAL A,6122849
POINTE DES MONTS,7046076
WOODVILLE,6169648
SCHEFFERVILLE,7117827
ATIKOKAN,6020379
PAYNE RIVER,7115880
BRADFORD,6150857
CAP AUX CORBEAUX,7041020
ETANG A LA TRUITE,7052C09
PARRY SOUND 2,6116256
ST JACQUES DE LEEDS,7027382
PEMBROKE SE,6106369
BLOOMFIELD WEST,6150816
WAHNAPITAE-STOKES,6069197
WIARTON A,6119498
LEAMINGTON,6134390
DRUMQUIN,6152114
CHANDLER,7051292
FALKLAND,6142373
ST ZENON,7017786
UPTON,7028570
WEMINDJI A,7098908
WAKEHAM,7058840
CLARKE CITY,7041710
WALLACEBURG,6139265
CARAMAT,6041193
HELENE,7093055
GEORGETOWN WWTP,6152695
STE ROSE DU NORD,7047722
SENNETERRE,7097900
LAC MEGANTIC,7023675
TAPLEY,6168525
KING SMOKE TREE,6154142
EMSDALE,6112313
BEAUCEVILLE,7028754
CHAMOUCHOUANE,7061288
LES PALISSADES,704DB97
BARRAGE A LAC KEMPT,7070448
ASHTON,6100353
ROSSEAU LAKE,6117189
HIGH FALLS,6053463
MONT ST HILAIRE,7025330
CLIFFORD,6121603
BEAUSOLEIL,6110617
TORONTO BEVERLEY HILLS,6158386
BURLEIGH FALLS,6161050
WALSINGHAM SANTO,6139272
BURROUGHS FALLS,7020880
LISTOWEL,6144442
LAKE EON,7043740
ST PROSPER,7027660
TORONTO OLD WESTON RD,6158764
STE ROSALIE,7027718
ATTAWAPISKAT A,6010400
HAVRE ST PIERRE A,7043017
NITCHEQUON,7095480
ORILLIA TS,6115820
LA GRANDE IV A,7093GJ3
COVE ISLAND (AUT),61219J2
ST PRIME,7067658
TASCHEREAU 2,7098362
BREVOORT ISLAND,2400565
GREEN RIVER,8102000
SHAWVILLE,7038040
RANBORO EST,7026344
WOOLER,6159652
AYLMER ONT HYDRO,6130420
DISRAELI,7022000
PORT BURWELL RES STN 1,613659R
TORONTO WILSON HEIGHTS,6158846
KINGSTON N & C GAS,6104160
MAPLE LEAF SOUTH,7024625
MOUNTAINVIEW,615EMR7
ST WENCESLAS,7027783
LEBEL SUR QUEVILLON,7094275
LA BAIE,706Q001
KINCARDINE,6124127
KILLARNEY (AUT),605DJ25
LANSDOWNE HOUSE (AUT),6014353
MONT-JOLI,7055122
RAPIDE NO 2,7086440
RAITH TCPL 64,6046856
NOTRE DAME DE LA PAIX,7035666
PORT BURWELL RES STN 3,61365RR
GODERICH TOWNSHIP,6122851
DUPLANTER,7112249
VALCARTIER FES,7018577
IVUJIVIK A,7103329
CAP CHAT EST,7051042
BARRIERE JALBERT,7040MGJ
KITCHENER,6144232
BISHOPTON,7020800
DANVILLE,7021954
GUELPH TURFGRASS,6143089
ENGLEHART,6072325
ST BRUNO KAMOURASKA,7056922
CAMP PROFOND,704J0AF
AURORA PAYMENT,6150397
MINGAN,7044980
BEAUPORT,7010566
SENNETERRE (RADAR),7097906
RIVIERE HEVA,7096621
BIC,7050760
LONGUE-POINTE-DE-MINGAN,7044328
PICTON,6156533
CAP ROUGE,7011170
CANBORO,6131165
ST ELZEAR DE BONAVENTURE,7057160
NAKINA FORESTRY,6045572
DESTOR,7091985
STE SOPHIE,7027737
CHUTE PANET,7011600
CARTIER,6061263
STRATHBURN,6148115
PERKINS,7036000
ST TITE,7017760
ST JACQUES,7017380
TORONTO LEASIDE S,6158730
STE-FOY (U. LAVAL),701Q004
SAINT MICHEL,7057567
STE-ANNE-DE-BELLEVUE 1,702FHL8
COURVILLE DE POISSY,701A9E0
PRINCEVILLE,7026250
BARRAGE ANGLIERS,7080452
BORDER A,7110830
MONTICELLO,8300447
SUNDRE GARRINGTON,3026259
JUMPING POUND,3033572
DODDS ROUND HILL,3012091
CROSS CONSERVATION AREA,303S001
KOOTENAY NP WEST GATE,1154410
FINNEGAN,3022616
OYEN,3024960
SLAVE LAKE A,3065999
MACKENZIE BCFS,1184792
DUNKIRK L3,3062146
HIGH PRAIRIE NORTH,3063178
EDSON A,3062244
SALMONIER NATURE PARK,8403621
WESTERN ARM BROOK,8404210
SALMONIER,8403620
DUNVEGAN,6102153
CRESTOMERE AGCM,3011892
ENCHANT AGDM,3032422
SOUNDING CREEK,3016052
CAPE PROVIDENCE,2501419
HINES CREEK EXP ST,3073320
BALDY LO,3050490
CANAL FLATS,1151290
LOUGHEED SOUTH,3013993
BIG VALLEY WEST,3020678
SPARWOOD,1157630
LIARD TOWER,2202683
ELMWORTH,3072320
STAUFFER,3026095
DEMMITT CDA EPF,3072063
TWILLINGATE (AUT),8404025
ST JOHN'S WEST CDA CS,8403605
WOODDALE BISHOP'S FALLS,8404310
ST JOHN'S,8403500
BAY D'ESPOIR ST ALBANS,8400415
MINBURN GRAZING RESERVE,3014556
INUVIK A,2202571
SAMBAA K'E,220CQHR
CARDSTON EXP ST,3031328
UNOCAL KAKWA,3076653
CHETWYND SUKUNKA,1181510
GRANUM JUMBO VALLEY,3032924
WRITING ON STONE PARK,3047670
BOB CREEK,3050731
RED WILLOW,301NDR1
DRUMHELLER EAST,30221LG
TALBOT LAKE LO,3076362
KLEWI TOWER,3073655
ESTHER PRATT,301A011
BUSBY,3010978
FORESTBURG,3012651
WATERTON LAKES PASS CRK,3057080
WATERTON PARK GATE,3056214
CAPE ST GEORGE,8401053
CARMANVILLE,8401078
CAPE HARRISON,8500900
HAMPDEN,8402065
LOURDES,840B5HH
CAT ARM RIVER,8401104
COLINET PEAT BOG CDA,8401250
GANDER BAY SOUTH,8401711
GRAND BANK,8402000
POOLS COVE FORTUNE BAY,8402973
BISHOPS FALLS,8400549
HAWK HILLS AGCM,3073071
SACHS HARBOUR A,2503650
VERMILION RIVER,3016807
WEST PADDLE,3067259
LAKE LOUISE,3053760
TOBACCO PLAINS,1158200
MANNING,3074181
COCHRANE VE6CQC,303AFGF
SWAN HILLS,3066297
VULCAN,3036881
OKANAGAN CENTRE,1125700
BIG CREEK,1080870
BISHOPS FALLS PEAT MINE,8400552
ST STEPHENS,8403618
MIDDLE ARM,8402644
HUDSON HOPE BRENOT CREEK,118L6C0
WEKWEETI A,2203980
GRANDE CACHE AUTO,307C001
HIGH PRAIRIE A,3063162
PARADISE VALLEY WEST,3014996
HAY RIVER A,2202401
LATHOM AGCM,3033770
KOOTENAY NAT PARK RADIUM,1154405
COQUITLAM MUNDY PARK,1101891
STEWART CROSSING TOWER,2101031
ENDAKO SAVORY,1092678
TWO PETE CREEK,2101138
PORTUGAL COVE,8403044
GREAT BARASWAY P.B.,840K0NC
BATTLE HARBOUR,8500395
TOPSAIL,8403875
ACADIA VALLEY MACTAVISH,3020025
BIRCH LAKE,3010698
HORSESHOE LAKE,3013345
TAHSIS VILLAGE NORTH,1037899
DRYAD POINT,1062544
LANGLEY 96 AVENUE,1104569
SAANICHTON MT NEWTON 2,101F940
MORICE RIVER HOUSTON,1075200
PORT ALBERNI COX LAKE,1036208
SQUAMISH 10 MILE,1047673
TWIN FALLS A,8504060
CLARENVILLE,8401140
GRAND FALLS,8101900
CALGARY NOSE HILL,3031077
MAGRATH,3034160
GROTON,3042960
BENALTO,3020620
AKAMINA PASS,30500FR
PEACE RIVER,3075038
FORT MCPHERSON A,2201606
BURNABY BRANTFORD,1101144
BOWSER,1020910
CANOE POINT,1161312
KAMLOOPS CDA,1163810
BURNABY VANCOUVER HTS,1101166
PORT MELLON,1046332
N VANCOUVER CAPILANO HIGHLANDS,110EFNN
WEST CRESTON,1148790
FORT ST JOHN 8NW,118L0LK
PORT COQUITLAM BURKE MOUNTAIN,110FBEE
SATURNA CAPMON CS,1017099
NICOLA LAKE,1125586
SWIFT CURRENT,4028038
CHARLESTON,8401128
POOLS COVE,8402972
COLD LAKE A,3081680
GAINFORD,3012762
EDMONTON INTERNATIONAL CS,3012206
EXSHAW,3052508
EDMONTON TIEBEKE ESTATES,301A005
HUDSON HOPE BCHPA DAM,1183FL0
GLENWOOD,8401800
WYCLIFFE,1158990
GUY,3072985
PORT RENFREW,1016335
NANAIMO,1025340
COBBLE HILL DELOUME ROAD,1011745
SUMMERLAND CDA EL,1127830
CENTRAL SAANICH ISL VIEW,10114F6
WOODS LAKE,1128983
WATSON LAKE (AUT),2101204
DEASE LAKE LWIS,1192345
MCGILLIVARY FALLS,1114992
CHIEF LAKE,1091512
MURDER CREEK,1075253
RICHMOND RIVER ROAD EAST,1106770
TESLIN,2101099
FINNEGAN AGCM,3022650
CALGARY MIDNAPORE,3031078
GLEICHEN AGCM,3032801
FARRELL CREEK,1182810
ATHABASCA,3060320
ESTHER,3022460
PRINCETON A,1126518
CASTLEGAR ROBSON PUMPHOUSE,1141463
COQUITLAM,1101888
WINISK,6019548
GARDEN HEAD,4022800
CARTWRIGHT,502055E
LEASK,4054241
GROVEDALE RS,3072970
LODGEPOLE RS,3063977
FLAT CREEK,1172895
ELNORA,3022325
CABIN LAKE AGCM,3021000
LUTSELK'E CS,220L002
OLDS,3024920
CALGARY POPLAR GARDENS,3031102
TWIN GORGES,2203933
BROWNVALE AGCM,3070800
EMPRESS DOT,3022402
CRANBROOK A - HWOS CLIMATE,1152101
ENTRANCE,3062440
YOHO NP EMERALD LAKE,117R00G
RICH LAKE AGDM,3065475
STARBUCK,5022770
YORK FACTORY,5063350
CHURCHILL A,5060595
BIRCH HILLS,4050675
ROBLIN,5012472
BISMARK,3020702
FORT PROVIDENCE,2201800
DEL BONITA,3042040
FORT ASSINIBOINE RS,3062654
PINHORN AGCM,3045100
HAWK HILLS LO,3073070
MAY LO,3064300
HAY CAMP TOWER,3073072
FORT SIMPSON A,2202104
MIDWAY LODGE,2100PLF
MCLENNAN RS,3074322
BEATTON RIVER A,1180750
OBED,3064908
UNIVERSITY OF CALGARY,3036652
KYISKAP CREEK,3033675
FORT FRANKLIN,2201380
FIELD,1172870
LAC LA RONGE,4064130
PORCUPINE PLAIN,4086160
EASTEND CDA EPF SOUTH,4032321
MARCHAND FORESTRY,5021690
BICKLEIGH,4040587
KINISTINO,4053960
MARCHAND W4,5021692
WARNER EAST,3046952
OWENDALE,3034950
KEOMA,303C642
RAE LAKES,2203360
PINE LAKE,3025222
FAIRVIEW THREE FOX FARM,3072539
DEADWOOD EXP ST,3071960
PEMUKAN,3015165
PAULATUK A,2203055
FALHER,3072600
SOUTH WAPITI RS,3076060
CRANBROOK A,1152100
LA CRETE RS,3073735
CANAL FLATS RANGER STN,1151288
SLAVE LAKE,3066000
EDMONTON CITY CENTRE AWOS,3012202
DEADWOOD,3071955
ROCKY LANE AGCM,3075550
CHAMBERY,4031480
PRAIRIE RIVER,306A008
INWOOD,5031369
WOLLASTON LAKE,4069020
ALTONA SOUTH,5020054
CARMAN 2,5020553
SNOW LAKE ANDERSON BAY,5062707
BAKER LAKE A,2300503
ASHERN,5040120
SCHULER AGDM,3025768
SWEETWATER,1187885
TRAIL VALLEY,220N005
GOOSEBERRY LAKE,3012872
TEMPLE,3056LPA
LLOYDMINSTER SEFTON PARK,3013965
PICTURE BUTTE,3035173
MASINASIN,3044230
OYEN AGDM,3024965
KESSLER,3013643
RIVERCOURSE,3015500
WASA,1158730
ALIX,3020121
OTTER LAKES LO,3074940
WAINWRIGHT,3016930
MAYMONT,4045049
CORNING,4011843
ETHELTON,4052448
RIVERS,5012439
WINNIPEG HURST RESERVOIR,502C2JM
CAPE PEEL,2300680
CALGARY INT'L CS,3031094
MEDICINE HAT CCOC,3034488
CONSORT AGDM,3011815
HART LAKE,2202360
HINTON FTS,3063342
BRAZEAU LO,3010800
EDMONTON AB RESEARCH PARK,3012235
VIKING NORTH 3,3016845
WILDWOOD NORTH,3067561
STEEPHILL CREEK,3076115
EAST BERRY CREEK,3022154
RED EARTH RS,30754R1
NORDEGG RS,3054845
CROWSNEST,3051R4R
WABAMUN,3016900
MOUNTAIN VIEW,6155498
CARMICHAEL,4021200
UNITY SOUTH,4048326
BOGGY CREEK,5010310
SIMPSON LAKE,2303694
SHAMATTAWA A,5062656
MELVILLE,4015100
COURVAL,4021851
SPALDING,4017704
CLUT LAKE (AUT),2200777
MOUNT ODLUM,3054733
HUSSAR AGDM,3023402
PINE RIDGE C3,3015K2K
JASPER,3053520
SUNSET,3026265
ST VINCENT SOUTHEAST,30156H6
BEAVERLODGE REDLOW,3070565
HANSON LAKE,1153335
CORONATION A,3011880
YEOFORD,3017685
MILLARVILLE,3034552
BANFF CS,3050519
STEEN RIVER RS,3076110
KOOTENAY PLAINS R4,3053669
CARDSTON,3031320
STRY,3016225
DANA CFB,4052070
LUCKY LAKE,4024714
GLADSTONE,5041050
RAT RAPIDS,6016890
MORRIS,5021920
QUINTON,4016335
POINTE DU BOIS,5032249
GOODSOIL,4062940
AMYOT LAKE,4050153
SUNDRE RS,3026260
BELLIS,3010616
WESTEROSE 2,3017258
THORHILD,3016400
ENILDA LO,3062430
CROKER RIVER,230J01Q
ELKO,1152670
UNIVERSITY OF ALBERTA METABOLIC CENTRE,301FFNJ
SCOTFIELD,3025770
MARIAN LAKE TOWER,220K68F
LITTLE DOCTOR LAKE,220BFH3
DAUPHIN,5040675
POLARIS MINE LITTLE CORNWALLIS ISLAND,2403160
FLOWERS COVE,8401582
HOLYROOD,8402303
FERNIE SNOW VALLEY,1152851
PINCHER CREEK EXP ST,3035216
MEDICINE HAT,3034479
LUPIN A,23026HN
PINK MOUNTAIN,1186172
NINA LAKE,3074808
WELDON,4058732
ABBEY,4020020
THE PAS CLIMATE,5052890
LEROSS,4014320
WINNIPEG WINDSOR GOLF COURSE,5023274
REGINA CATHEDRAL,4016590
DELTA MARSH CS,5040764
GILLAM A,5061022
CHURCHILL MARINE,5060602
WILLOW CREEK,4039000
PORTAGE SOUTHPORT,5012324
VEREGIN,4018445
ROSE ISLE,5022492
